Acceleration Factor (Original),Acceleration Factor (Midpoint),Task Type,Reference
1.3-2.0,1.65,Cognitive,BCG (69)
2.0-4.0,3,Cognitive,Lu et al. (57)
1.3,1.3,Cognitive,Dell’Acqua et al. (70)
1.7,1.7,Cognitive,Noy & Zhang (71)
2.2,2.2,Cognitive,GitHub Copilot (72)
75-300,187.5,Cognitive,Skarlinski et al. (27)
120-140,130,Cognitive,Zhou et al. (47)
150-300,225,Cognitive,Luo et al. (22)
1.7,1.7,Physical,Bao et al. (77)
1-2,1.5,Physical,Rapp et al. (68)
3-6,4.5,Physical,Rapp et al. (68)
15-50,32.5,Physical,Rapp et al. (68)
20,20,Physical,Huang et al. (55)
12-36,24,Physical,Omidvar et al. (78)
40,40,Physical,Burger et al. (28)
10-100,55,Physical,Burger et al. (28)
10-100,55,Physical,Delgado-Licona & Abolhasani (79)
2,2,Physical,Emerald cloud lab (80)
90,90,Physical,Emerald cloud lab (80)
100,100,Physical,Arnold (81)
