reference,type,acceleration
BCG,Cognitive,1.65
Lu et al.,Cognitive,3
DellAcqua et al.,Cognitive,1.3
Noy and Zhang,Cognitive,1.7
GitHub Copilot,Cognitive,2.2
Skarlinski et al.,Cognitive,187.5
Zhou et al.,Cognitive,130
Luo et al.,Cognitive,225
Bao et al.,Physical,1.7
Rapp et al.,Physical,1.5
Rapp et al.,Physical,4.5
Rapp et al.,Physical,32.5
Huang et al.,Physical,20
Omidvar et al.,Physical,24
Burger et al.,Physical,40
Burger et al.,Physical,55
Delgado-Licona and Abolhasani,Physical,55
Emerald cloud lab,Physical,2
Emerald cloud lab,Physical,90
Arnold,Physical,100
